cid,tel,password,comfpassword
1,13513413312,123456,123456
2,13527286102,123456,123456
3,13978367360,123456,123456
4,13691973014,123456,123456
5,13769012394,123456,123456
6,13171673193,123456,123456
7,13232888934,123456,123456
8,13734206534,123456,123456
9,13430616970,123456,123456
10,13885071134,123456,123456
11,13906267890,123456,123456
12,13977130762,123456,123456
13,13746159489,123456,123456
14,13539785324,123456,123456
15,13970463402,123456,123456
16,13690888773,123456,123456
17,13994565407,123456,123456
18,13728739223,123456,123456
19,13695815634,123456,123456
20,13155819975,123456,123456
21,13427919618,123456,123456
22,13447236976,123456,123456
23,13925866566,123456,123456
24,13693201346,123456,123456
25,13951255526,123456,123456
26,13302831746,123456,123456
27,13806739045,123456,123456
28,13320486677,123456,123456
29,13831533761,123456,123456
